"fylke","total_myr_km2","percentage_myr","total_skog_km2","percentage_skog","total_jordbruk_km2","percentage_jordbruk","total_aapen_fastmark_km2","percentage_aapen_fastmark","total_annen_arealtype_km2","percentage_annen_arealtype"
"Agder",16.6,7.5,172.2,77.4,5.8,2.6,25.8,11.6,2,0.9
"Innlandet",24.1,6.7,283.4,79,14.4,4,36.2,10.1,0.6,0.2
"Møre og romsdal",21.2,14.2,64,42.9,15.4,10.3,37,24.8,11.6,7.8
"Nordland",16,8.5,97.5,52,11.8,6.3,37.6,20,24.7,13.2
"Rogaland",4.3,4.2,43.6,42.3,20.8,20.2,30.8,29.9,3.6,3.5
"Troms og finnmark",10.8,4.7,97.3,42,10,4.3,65.7,28.4,47.7,20.6
"Trøndelag",42.1,14.3,174.5,59.1,20.7,7,41.9,14.2,16.1,5.5
"Vestfold og telemark",6.3,3.9,132.4,82.4,5.2,3.2,14.1,8.8,2.7,1.7
"Vestland",11.9,6.1,98.5,50.1,18.3,9.3,38.8,19.7,29.1,14.8
"Viken",10.8,4.2,200.3,78.4,17.1,6.7,25.8,10.1,1.5,0.6
