"fylke","total_myr_km2","total_skog_km2","total_jordbruk_km2","total_aapen_fastmark_km2","total_annen_arealtype_km2","total_skredfaresone_km2","total_flomsone_km2","total_over_skoggrense_km2","total_strandsone_km2","total_villrein_km2","total_iba_km2"
"Agder",16.6,172.2,5.8,25.8,2,0,0,0.2,2.6,47.8,1.9
"Innlandet",24.1,283.9,14.5,36.2,0.6,0,1,6.8,0,156.5,3.3
"Møre og romsdal",21.2,64,15.4,37,11.6,0.3,0.2,4,8.9,16.5,21
"Nordland",16,97.8,11.8,37.7,24.7,0.3,0.1,3.8,22.3,0,2.9
"Rogaland",4.3,43.7,20.9,30.8,3.6,0,0.1,8.7,4.3,3.2,1.4
"Troms og finnmark",10.8,97.4,10,65.8,47.7,0.1,1.1,26,14.9,0,3.7
"Trøndelag",42.1,174.5,20.7,41.9,16.1,0.1,0.6,9.2,11.1,39.2,0.6
"Vestfold og telemark",6.3,132.4,5.2,14.1,2.7,0,0.4,0.3,1.3,47.2,0
"Vestland",11.9,98.5,18.3,38.8,29.1,0.8,0.1,4.8,18.3,16.7,0
"Viken",10.8,200.5,17.1,25.9,1.5,0,0.4,4.1,1,26.4,1.8
