"fylke","01 Bolig eller sentrumsformål","02 Fritidsbebyggelse","03 Tjenesteyting","04 Handel","05 Turistformål","06 Næringsvirksomhet","07 Råstoffutvinning","08 Kombinerte formål","09 Idrettsanlegg","10 Andre formål","11 Samferdselsanlegg","16 Havner og småbåthavner","13 Forsvaret","total"
"Agder",60.9,158.7,9.2,0.8,6.4,28.1,9.5,6.2,29.8,12.7,53.4,2.1,0,377.8
"Innlandet",114.5,235.5,15.1,2.7,18.8,45.7,34.2,20.8,85.7,38.3,88.9,0,1,701.1
"Møre og romsdal",85.8,64.4,9,1,7,50.5,11.2,5.7,26.4,25.2,26.7,5,0.1,318
"Nordland",54.6,83.6,7.9,1.4,7.5,35.3,43.1,9.5,22.4,33,88.4,9.8,0.6,397.2
"Rogaland",38.8,43.3,8.2,0.3,3.1,32.4,29.6,4.3,14.1,25.8,26.8,2.2,0.2,229.2
"Troms og finnmark",77.4,84.1,10.4,0.9,21.6,36.3,37.3,13.5,21.5,35,64,4.7,0.3,407.1
"Trøndelag",100.2,175.2,7.5,1.1,6.7,41.1,43.8,17.3,38.8,176,65.8,4.9,0,678.4
"Vestfold og telemark",56,107.1,8.5,2.8,8.3,26.6,25.9,10.7,35.4,9.8,45.1,1.3,0,337.6
"Vestland",154.2,72.1,12.1,1,6.7,53.5,14.1,15.8,57.4,39.9,43,17.8,0.1,487.8
"Viken",156.1,165.2,24.7,1.1,10.7,51.1,29.6,20.9,89.3,23.1,85.8,1,0.9,659.5
"Total",898.5,1189.3,112.5,13,96.8,400.7,278.4,124.8,420.9,418.8,587.8,48.8,3.3,4593.6
